,Baseline,Latency_a,Latency_b,T2MaxVel,T2MaxCon,T2Rec75pc,PeakCon,ConAmplitude,VelConMax,VelConAve,AccConMax,ConTime,VelRedAve,VelRedMax,AccRedMax,assets,Unnamed: 0,mean_lum_mask,std_lum_mask,mean_lum,std_lum
0,0.009984894201296226,0.4166666666666667,0.35,0.5166666666666666,1.2416666666666667,0.0,-0.27633776791536635,0.2863226621166626,0.785118080792146,0.28792122223013955,3.5824566058208385,0.825,0.08736714640513364,0.34156693810794225,3.9110744099278616,Asset0020,17,0.4100306,0.11999015,0.15972383,0.15972383
1,-0.00039916648389542395,0.35833333333333334,0.3416666666666667,0.475,1.4583333333333333,0.0,-0.48061710590297807,0.48021793941908264,1.0929921297314993,0.39231036471234376,8.596357320867954,1.0999999999999999,0.0635405510899343,0.15016292033914969,1.7552596770453732,Asset0022,19,0.42353317,0.13521087,0.12825154,0.12825154
2,0.004190419402087158,0.6666666666666666,0.575,0.625,0.7083333333333334,0.5916666666666667,-0.05400178487713223,0.05819220427921939,0.27358895764367536,0.11977928590779297,4.153999246589002,0.04166666666666674,0.06553257838641063,0.14839892774806887,3.981095522625111,Asset0042,36,0.33577088,0.083976455,0.1265837,0.1265837
3,0.006372855335337275,0.5,0.175,0.5166666666666666,0.9083333333333333,0.525,-0.09410723741310142,0.10048009274843869,0.38035166354091043,0.10975517431859315,3.2028864656770573,0.4083333333333333,0.09253420506494782,0.2410127966308409,2.4648881322397065,Asset0039,33,0.35697794,0.08338972,0.1289867,0.1289867
4,0.0120066215732025,0.825,0.7333333333333333,0.7833333333333333,0.875,0.30833333333333335,-0.05984482112335764,0.07185144269656014,0.4359404095953358,0.2260634285335007,6.93889063162354,0.050000000000000044,0.09499535724507314,0.3657439682115393,7.125572439084249,Asset0001,0,0.26650748,0.1039603,0.13015002,0.13015002
5,0.009720275935735245,2.1416666666666666,0.3416666666666667,0.4166666666666667,2.2666666666666666,0.0,-0.061091357524283386,0.07081163346001863,0.4080049977431377,0.08974792590995924,5.627423591680725,0.125,0.07588392014243946,0.1805438748023963,2.9691440283374226,Asset0021,18,0.3621663,0.08502875,0.13524616,0.13524616
6,0.00045689509471361756,0.35833333333333334,0.3,0.45,1.9416666666666667,0.0,-0.5282140022263688,0.5286708973210824,1.2848001899176953,0.33253250925672884,9.645129253292886,1.5833333333333333,0.13210701566848082,0.3075965266230507,3.3425221623968326,Asset0048,42,0.44772378,0.13801493,0.16703598,0.16703598
7,0.002450750034841197,0.5083333333333333,0.4,0.48333333333333334,0.7416666666666667,0.6833333333333333,-0.09044506613835969,0.09289581617320089,0.28413970159677115,0.1817034365426208,1.9813448227731234,0.2333333333333334,0.0998673174062425,0.2869533730539209,2.9625545063790337,Asset0005,4,0.31618613,0.091973506,0.12929271,0.12929271
8,-0.002739300607151756,0.3416666666666667,0.3333333333333333,0.43333333333333335,1.0083333333333333,0.0,-0.26851353246925974,0.26577423186210797,0.5409104804317588,0.3312021010737306,4.867942894516375,0.6666666666666666,0.07454428955911312,0.18352214436562098,3.408514066051671,Asset0028,23,0.39515796,0.1254865,0.14764483,0.14764483
9,0.002942690437521156,0.4,0.35,0.44166666666666665,0.6166666666666667,0.975,-0.16383460169708425,0.1667772921346054,0.7739180403177287,0.532054192737774,6.063056433416092,0.21666666666666667,0.15500278175713952,0.40436974319033336,7.13559679114753,Surprise03,52,0.26792732,0.23425023,0.15309025,0.15309025
10,0.007660771329434739,0.625,0.30833333333333335,0.65,1.05,0.9333333333333333,-0.11785695558804085,0.1255177269174756,0.3618743546566522,0.16513890583415491,3.6824981712637816,0.42500000000000004,0.07298822001909902,0.19487664877692643,2.16493172928951,Asset0036,31,0.36441875,0.06329672,0.16907188,0.16907188
11,-0.0025129591570753943,0.45,0.23333333333333334,0.4583333333333333,0.6083333333333333,0.5666666666666667,-0.08698346923060297,0.08447051007352759,0.3797839469267436,0.24907548853401582,4.114504517999776,0.15833333333333327,0.0770376487831472,0.26235397846723907,2.587705133465379,Asset0030,25,0.3308456,0.10292578,0.13521598,0.13521598
12,-0.006029098569496055,0.7166666666666667,0.26666666666666666,0.45,1.0166666666666666,0.0,-0.07587056627946508,0.06984146770996902,0.3558210189674327,0.08728153102422621,6.80953866574785,0.29999999999999993,0.044743895201313784,0.14194805068649424,1.3046984893830826,Asset0006,5,0.34530446,0.0814986,0.1423135,0.1423135
13,0.002346340347230945,0.4666666666666667,0.10833333333333334,0.6583333333333333,2.8583333333333334,0.0,-0.17873172398508277,0.18107806433231372,0.34362599424410334,0.10005421921359907,3.9168149707557554,2.3916666666666666,0.11616056703879449,0.17705770622333694,3.497182072711036,Asset0011,10,0.36842307,0.10854018,0.13845007,0.13845007
14,-0.003339097481467195,0.8666666666666667,0.19166666666666665,0.875,0.9916666666666667,1.3166666666666667,-0.0740633273295421,0.0707242298480749,0.3442501300903233,0.20882988506128358,5.262432132926877,0.125,0.10175090714105996,0.29893154463184346,5.666875830412044,Control04,48,0.30848375,0.17796981,0.052076355,0.052076355
15,0.003753238211448072,0.0,0.975,0.6333333333333333,0.75,0.45,-0.019047460779094146,0.02280069899054222,0.11797267569884799,0.058229623625462815,1.4109726631088004,0.75,0.060058597913451924,0.15951069653419125,2.497607869601676,Asset0018,16,0.24342825,0.099688716,0.098980285,0.098980285
16,-0.0009034550075581097,0.39166666666666666,0.3,0.44166666666666665,1.05,0.0,-0.3053794681983163,0.3044760131907582,0.8938456946834322,0.3926658674479989,6.080665156196559,0.6583333333333334,0.08911627074607929,0.20688721432694623,2.6263533316947196,Asset0050,44,0.43497676,0.089289285,0.1632826,0.1632826
17,0.0026993476467133226,0.0,0.175,1.55,0.7333333333333333,0.24166666666666667,-0.030052148842817757,0.03275149648953108,0.1154669280781579,0.07397799180900494,1.4259467069566962,0.7333333333333333,0.08908002768158646,0.48330410707996735,7.077701363544119,Asset0003,2,0.32008824,0.08134007,0.14243245,0.14243245
18,-0.0005570517912573866,0.5166666666666666,0.7083333333333334,0.7583333333333333,0.85,0.5083333333333333,-0.12073063900337214,0.12017358721211475,0.3247830523344286,0.21543195461647877,4.924279192989012,0.33333333333333337,0.08244804135339452,0.2716953501780997,4.985623130810435,Asset0047,41,0.32080472,0.09934897,0.14681749,0.14681749
19,0.003454135359645876,0.35,0.2916666666666667,0.4166666666666667,1.4166666666666667,0.0,-0.6777750152627638,0.6812291506224097,1.72146262199807,0.5916229621968416,12.230004236412952,1.0666666666666669,0.08962287188499544,0.22775100948037252,2.77122946757391,Surprise04,53,0.4970903,0.35326523,0.1961059,0.1961059
20,-0.014512706265407052,0.0,0.225,0.0,2.158333333333333,0.075,-0.018289365046406006,0.0037766587809989535,0.5012482242073801,0.11553480729319614,8.19350261624237,2.158333333333333,0.061556196597443,0.16725816742410515,2.218317270415895,Asset0032,27,0.33565906,0.100651115,0.12584352,0.12584352
21,-0.005737754512648478,0.6166666666666667,0.275,0.7,1.075,0.0,-0.09774031384006877,0.0920025593274203,0.2523563722695782,0.11022200969913812,1.9431653558299677,0.45833333333333326,0.06920599904888387,0.3053722923095953,2.6082871947893493,Asset0009,8,0.34692207,0.11580938,0.11837247,0.11837247
22,0.0032976017054524524,0.36666666666666664,0.30833333333333335,0.5833333333333334,0.9333333333333333,1.0,-0.22672889768982127,0.23002649939527373,0.5030424328979066,0.3171624793309812,2.7331535301621024,0.5666666666666667,0.11507586269782913,0.41896944702589145,3.777952178004207,Asset0046,40,0.36939648,0.09290841,0.17275153,0.17275153
23,-0.0002454010730664733,0.48333333333333334,0.4,0.5333333333333333,0.8666666666666667,0.0,-0.1523482666977076,0.15210286562464112,0.4383414173698774,0.27462885745924087,1.9899882212027564,0.38333333333333336,0.05186701471655343,0.13237666372581336,1.876369422284263,Asset0026,21,0.3676268,0.076162815,0.14731008,0.14731008
24,0.001198555878475337,0.4166666666666667,0.3833333333333333,0.4583333333333333,1.1916666666666667,0.0,-0.18649743997640394,0.18769599585487928,0.625450530711199,0.19544116996853048,3.457100757439011,0.7749999999999999,0.10677338335133514,0.22241637293732075,2.890847707686195,Asset0007,6,0.40376496,0.108018324,0.15278728,0.15278728
25,0.0066061018558226286,0.4583333333333333,0.4083333333333333,0.5083333333333333,0.9249999999999999,1.3833333333333333,-0.26314395906065385,0.26975006091647646,0.8198828329424268,0.4594607963697529,4.867343683849164,0.4666666666666666,0.1263169950286161,0.45672124983631324,5.795041005276769,Surprise01,50,0.34675545,0.09517569,0.095348306,0.095348306
26,0.009397668225749056,0.8083333333333333,0.85,0.9,2.4833333333333334,0.0,-0.1237476969408345,0.13314536516658354,0.6130777428781758,0.14380050529460697,12.81581878123943,1.675,0.21133988980515173,0.39503640089075975,7.5405964921319235,Control02,46,0.33035243,0.16095681,0.052292597,0.052292597
27,-0.00047137933836258005,0.43333333333333335,0.2916666666666667,0.43333333333333335,1.4833333333333334,0.0,-0.2214994747073638,0.22102809536900123,0.5133201522744139,0.16646856728548814,4.257062797380307,1.05,0.0866306210385119,0.1793972466152327,1.7707115153854147,Asset0049,43,0.32337552,0.10178913,0.13487287,0.13487287
28,-0.002877739561642552,0.325,0.31666666666666665,0.425,2.6666666666666665,0.0,-0.5928544628350504,0.5899767232734079,1.2682193273096742,0.26045840724863917,8.05696623297016,2.3416666666666663,0.12221603038600763,0.24360090223199293,3.4815256754184176,Asset0035,30,0.49293384,0.11505228,0.18024044,0.18024044
29,-0.011411434978287789,0.0,0.24166666666666667,0.025,0.10833333333333334,0.075,-0.026540664714201127,0.015129229735913338,0.24777509908765075,0.20170088464721111,4.5258497143768786,0.10833333333333334,0.11221287032855114,0.256839397543132,5.170012031963772,Asset0044,38,0.22049674,0.10599228,0.10929676,0.10929676
